波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.5,0,0,5,1,2
2,6,0,0,2,1,2
3,8,0,0,3,2,12
4,11,0,0,1,1,4
5,12.5,0,0,3,1,14
6,13.4,0,0,4,1,4
7,16,0,0,1,1,4
8,18,0,0,10,2,3
9,19,0,0,3,3,12
10,21,4,1,5,1,2
11,22,0,0,1,1,5
12,24,0,0,4,1,4
13,26,0,0,3,3,12
14,29,0,0,1,1,5
15,31,0,0,4,1,4
16,32,0,0,10,2,3
17,34,0,0,2,1,2
18,36,0,0,3,3,12
19,36.5,0,0,3,1,14
20,38,0,0,4,1,4
21,40,0,0,1,1,5
22,41,0,0,10,2,3
23,42,0,0,3,3,12
24,45,0,0,2,1,3
25,48,9,1,0,0,0
